Marka;Model;İşlemci;RAM;Depolama;Ekran Kartı;Fiyat
Diğer;-;Intel Celeron;128;512;Entegre;8.496,67
Acer;-;AMD Ryzen 5 7520;16;1024;Entegre;10.475,35
Acer;Swift Go 16 Touchscreen;Intel Core Ultra 9;32;1024;Entegre;22.203,05
Diğer;-;Intel Celeron;12;1024;Entegre;8.497,10
Dell;Latitude Touchscreen;Intel Pentium;8;128;Entegre;5.722,95
Diğer;-;Intel Celeron N5095;12;1024;Entegre;8.539,37
SGIN;-;Intel N5095;12;1024;Entegre;8.517,17
Dell;Latitude 3190;Intel Pentium;8;128;Entegre;4.842,49
HP;EliteBook 845 G8;AMD Ryzen PRO 5 5650U;16;256;Entegre;8.966,79
Acer;Swift Go;Intel Core Ultra 7 155H;16;1024;Entegre;16.225,19
HP;EliteBook 845 G8;AMD Ryzen PRO 5 5650U;16;256;Entegre;11.955,29
Apple;Air;Apple M1;8;128;Apple M1 GPU;12.809,27
HP;-;Intel Core i7-10510U;16;512;Entegre;8.539,37
Dell;Latitude Touchscreen;Intel Pentium;8;128;Entegre;6.617,92
Diğer;-;Intel Celeron N5095;12;512;Entegre;8.752,87
Dell;Latitude 3190;Intel Pentium N5030;8;256;Entegre;3.842,91
Dell;-;Intel Core i7-8650U;16;256;Entegre;9.391,65
HP;14-ep2011wm;Intel N150;4;128;Intel UHD;5.935,16
SGIN;-;Intel Celeron;12;1024;Entegre;8.496,67
Acer;Aspire 3;AMD Ryzen 5 7520U;16;1024;Entegre;10.076,54
HP;EliteBook 845 G8;AMD Ryzen PRO 7 5850U;16;512;Entegre;11.742,23
Dell;Latitude E7470;Intel Core i5-6300U;8;256;Entegre;3.201,14
Acer;Swift;Intel Core Ultra 7 256V;16;1024;Entegre;30.363,26
Lenovo;ThinkPad L470;Intel Core i3-7100U;8;128;Entegre;2.495,76
SGIN;-;Intel N5095;12;512;Entegre;12.381,86
HP;ELITEBOOK 745 G6;AMD Ryzen 7 3700U;16;256;Entegre;7.044,91
Chuwi;-;Intel N100;12;512;Entegre;11.955,72
HP;EliteBook 845 G7;AMD Ryzen PRO 5 4650U;16;256;Entegre;8.311,36
Getac;-;Intel Core i5-6200U;8;128;Entegre;5.764,37
Lenovo;-;Intel Celeron;4;16;Entegre;1.494,04
Acer;Nitro V16S;AMD Ryzen 7;16;1024;NVIDIA RTX5060;37.992,29
SGIN;-;Intel Celeron;128;512;Entegre;8.539,37
Dell;Latitude 5430;Intel Core i7-1265U;16;256;Entegre;11.486,03
Acer;Aspire;Intel Core Ultra 5;32;1024;Entegre;19.470,32
Lenovo;ThinkPad T480;Intel Core i5-8250u;16;512;Entegre;11.955,29
Acer;Predator Helios Neo 14 Gaming Notebook;Intel Core Ultra 7;16;1024;NVIDIA RTX4070;32.640,40
Diğer;-;Intel Core i5-8265U;8;1024;Entegre;6.185,80
Lenovo;-;Intel Core Ultra 7 258V;32;1024;Entegre;29.846,60
Acer;Swift Go;Intel Core Ultra 9 285H;32;1024;Entegre;35.653,24
HP;14-ep2012wm;Intel N4020;4;128;Entegre;5.072,64
Dell;Latitude 3189;Intel Celeron;4;128;Entegre;3.373,22
Dell;Latitude 3190;Intel N5030;8;128;Entegre;3.415,92
Dell;-;AMD Ryzen 7 7730U;16;1024;Entegre;19.214,12
Acer;-;Intel Core i7-13620H;16;512;Entegre;17.079,17
Dell;Latitude Laptop;Intel Pentium;8;128;Entegre;5.550,44
Dell;Latitude 3190;Intel N5030;8;128;Entegre;3.159,73
Acer;Aspire 3;Intel N305;8;128;Entegre;7.258,40
Diğer;-;Intel Celeron;8;256;Entegre;7.650,81
Lenovo;-;Intel Core i7-6700HQ;32;1024;Entegre;11.059,04
Acer;-;Intel Core Ultra 5;16;1024;Entegre;17.079,17
HP;EliteBook 845 G8;AMD Ryzen PRO 5 5650U;16;256;Entegre;9.351,08
