urun_adi,fiyat
"Engo Casper Nirvana X600 15.6 "" Mat Ekran Koruyucu 16:9En Ucuz1.099,90 TLTEK FİYAT",1099.9
"Dell Chromebook 3100 (11.6"", Intel Celeron, 4GB RAM, 16GB, ChromeOS)  NO Charger",1109.7470099999998
"MSI S262 12.1 inç Notebookİkinci elEn Ucuz1.200,00 TL",1200.0
Hp presario C700 NotebookEn Ucuz,1300.0
"Dell Chromebook 3100 (11.6"", Intel Celeron, 4GB RAM, 16GB, ChromeOS) w/ Charger",1364.2330499999998
"PACKARD BELL MINIBOK YEDEK PARÇA-ÜCRETSİZ KARGOİkinci elEn Ucuz1.425,00 TL",1425.0
Lenovo N23 Chromebook Intel Celeron 1.60 GHz 4GB Ram 16GB eMMC,1494.03801
HP CHROMEBOOK G8 EE 13.3 LAPTOP-NOTEBOOKEn Ucuz,1500.0
HP Compaq nx 7300 laptopEn Ucuz,1614.0
Lenovo ThinkPad Yoga 11e TouchScreen  8GB RAM 128GB SSD . No OS installed,1622.562
"Dell Touchscreen Chromebook 3100 11.6"" Celeron 1.1GHz/4GB/32GB SSD - P30T001",1665.261
"HP  X360 11.6"" Chromebook 2-in-1 TOUCHSCREEN ,4GB RAM, 32GB eMMC , *SEE PHOTOS*",1665.261
Casper Nirvana N410 BilgisayarEn Ucuz,1699.0
"Acer Chromebook Spin 11 11.6"" Touchscreen R751TN-C5P3 4GB RAM 32GB eMMC",1707.53301
"Acer Chromebook C738t 2-in-1 (11.6"" touchscreen, Intel, 4GB, 16GB) with Charger",1707.53301
"Hometech Ht-Book14b Yedek Parçaları (Lütfen Fiyat Bilgisi İçin Firmamız İle İletişime Geçiniz)En Ucuz1.899,05 TLTEK FİYAT",1899.05
"HP  14 G4 Chromebook, 16GB SSD, 4GB RAM, WiFi, , 14inch screen FREE SHIPPING",1921.455
LENOVO ThinkPad W541 20EGS10800 Laptop Intel I7-4810MQ 8GB SEE NOTES,1921.455
