itemId,title,price,currency,condition,conditionId,category,categoryId,imageUrl,sellerUsername,sellerFeedback,sellerPositivePercent,itemLocation,shippingPrice
v1|267403805654|0,HP 14-DQ2053CL I3-1125G4@2.00GHZ 8GB RAM 256GB NVMe WIN-11H WCHARGER,7045.335,USD,Used,3000,,,https://i.ebayimg.com/images/g/O3YAAeSwQaJox81d/s-l225.jpg,primalenvy,254,,US,
v1|376662693201|645261962653,Business 17 Inch Windows 11 Laptop With 128GB / 256GB / 512GB SSD Intel Celeron,8496.67401,USD,New,1000,,,https://i.ebayimg.com/images/g/ilkAAeSw2FtpBIJ1/s-l225.jpg,ysd_20_53,220,,US,0.0
v1|286514387686|0,Dell Latitude 7410 Laptop PC 14” Core i7 4.90GHz 16GB RAM 256GB SSD Windows 11,11245.635629999999,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/hrsAAeSwEcxpPEX2/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|266889342994|0,"Acer Aspire 3-15.6"" Laptop AMD Ryzen 5 7520 2.8GHz 16GB RAM 1TB SSD Refurbished",10475.34567,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/JqMAAeSwiwdpJJuZ/s-l225.jpg,acer,92044,,US,0.0
v1|256696171093|0,Acer Swift Go 16 Touchscreen Laptop Intel Ultra 9 32GB RAM 1TB SSD Refurbished,22203.05301,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/dPgAAeSwPGtpHkMw/s-l225.jpg,acer,92044,,US,0.0
v1|366020046927|0,"2025 New 15.6"" Windows 11 Laptop, Intel Celeron  12GB RAM 1TB SSD, Business",8497.100999999999,USD,New,1000,,,https://i.ebayimg.com/images/g/xroAAeSwzutpLrj~/s-l225.jpg,xj_xie0617,28,,US,0.0
v1|256245941032|0,Dell Latitude Touchscreen 2-in-1 Laptop Pentium 8GB RAM 128GB SSD Windows 11 Pro,5722.94697,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/WhEAAeSwaZNot9lU/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|335762770305|545286436051,"Dell 14"" FHD Laptop Intel Quad Core i7 4.20GHz 64GB RAM 4TB SSD Windows 11 Pro",11784.923999999999,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/fboAAeSwYw9pHMKl/s-l225.jpg,aaa_pcs,6720,,US,0.0
v1|115603286837|415618341215,"HP Chromebook 11 G7 11.6"" Intel 2.60 GHz 4 GB RAM 32 GB eMMC Bluetooth Webcam SD",3628.9880099999996,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/JIkAAeSwEZho62Kv/s-l225.jpg,jetpaltd,3313,,US,0.0
v1|127563233638|0,EXC HP EliteBook X360 1040 G9 2-in-1 Touchscreen Laptop i7-1265U 16GB 512GB W11P,19171.851,USD,Used,3000,,,https://i.ebayimg.com/images/g/uSkAAeSws9tpP5de/s-l225.jpg,fmaster730,142,,US,
v1|366016031578|0,"New 15.6"" Windows 11 Laptop, Intel Celeron N5095 12GB RAM 1024GB SSD, Business",8539.37301,USD,New,1000,,,https://i.ebayimg.com/images/g/1w4AAeSwOElpLpyS/s-l225.jpg,xj_xie0617,28,,US,0.0
v1|116659802706|0,DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!,6402.715049999999,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/xpUAAeSwH8tog54B/s-l225.jpg,rinuvo,10364,,US,0.0
v1|267047928552|0,Lenovo ThinkPad X390 Yoga Laptop 13.3” FHD Core i7 16GB RAM 256GB SSD Win 11 Pro,12145.303559999998,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/V20AAeSwfOJpPKQk/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|376726547783|0,"SGIN Laptop 15.6"" FHD IPS 12GB 1TB SSD Intel N5095 Up to 2.9Ghz Windows 11 Home",8517.16953,USD,New,1000,,,https://i.ebayimg.com/images/g/M18AAeSwfgRpJAF6/s-l225.jpg,ysd_20_53,220,,US,0.0
v1|389232035494|0,"Dell Latitude 14 3420 (14"" Touch, 16GB, 512GB SSD, i5-1145G7 4.4GHz) Win11P, Gra",12809.273009999999,USD,Excellent - Refurbished,2010,,,https://i.ebayimg.com/images/g/g88AAeSw-8VpF0h3/s-l225.jpg,wisetekmarket-ca,7319,,US,0.0
v1|286972004800|0,Panasonic  CF-31   MK5  5th GEN Core i5  WIN11 PRO  16GB 1TB SSD WWAN  BLACK,16604.78712,USD,Used,3000,,,https://i.ebayimg.com/images/g/BYcAAOSw8mRm~tvR/s-l225.jpg,like-new-laptops,20773,,US,18.99
v1|335478590590|544919693055,"Lenovo ThinkPad T14 Touch 14"" Intel Core i7 4.90 GHz 48GB RAM 4TB SSD Win 11 Pro",20068.53,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/PBwAAeSwuEJpHMMd/s-l225.jpg,aaa_pcs,6720,,US,0.0
v1|256271376657|0,"Acer Aspire 3 Laptop 15.6"" Intel i5-1135G7 12GB RAM 512GB SSD 2.4GHz Refurbished",9820.34301,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/ueMAAeSway5pJOJk/s-l225.jpg,acer,92044,,US,0.0
v1|335333243508|544912345138,"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",18744.861,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/baYAAeSwvNNpHMMD/s-l225.jpg,aaa_pcs,6720,,US,0.0
v1|254754472823|0,Dell Latitude 3190 2-in-1 Touch Laptop Intel Pentium 8GB RAM 128GB SSD Win 11,4842.49359,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/BHAAAeSwnu5pAvdL/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|256776833046|0,Dell Latitude Light Gaming Laptop 1920x1080 4-Core i7 16GB RAM 512GB SSD Win 11,15300.332669999998,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/7KUAAeSwVktpO37P/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
