urun_adi,fiyat
HP 14-DQ2053CL I3-1125G4@2.00GHZ 8GB RAM 256GB NVMe WIN-11H WCHARGER,7045.335
Business 17 Inch Windows 11 Laptop With 128GB / 256GB / 512GB SSD Intel Celeron,8496.67401
Dell Latitude 7410 Laptop PC 14” Core i7 4.90GHz 16GB RAM 256GB SSD Windows 11,11245.63563
"Acer Aspire 3-15.6"" Laptop AMD Ryzen 5 7520 2.8GHz 16GB RAM 1TB SSD Refurbished",10475.34567
Acer Swift Go 16 Touchscreen Laptop Intel Ultra 9 32GB RAM 1TB SSD Refurbished,22203.05301
"2025 New 15.6"" Windows 11 Laptop, Intel Celeron  12GB RAM 1TB SSD, Business",8497.100999999999
Dell Latitude Touchscreen 2-in-1 Laptop Pentium 8GB RAM 128GB SSD Windows 11 Pro,5722.94697
"Dell 14"" FHD Laptop Intel Quad Core i7 4.20GHz 64GB RAM 4TB SSD Windows 11 Pro",11784.924
"HP Chromebook 11 G7 11.6"" Intel 2.60 GHz 4 GB RAM 32 GB eMMC Bluetooth Webcam SD",3628.98801
EXC HP EliteBook X360 1040 G9 2-in-1 Touchscreen Laptop i7-1265U 16GB 512GB W11P,19171.851
"New 15.6"" Windows 11 Laptop, Intel Celeron N5095 12GB RAM 1024GB SSD, Business",8539.37301
DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!,6402.715049999999
Lenovo ThinkPad X390 Yoga Laptop 13.3” FHD Core i7 16GB RAM 256GB SSD Win 11 Pro,12145.303559999998
"SGIN Laptop 15.6"" FHD IPS 12GB 1TB SSD Intel N5095 Up to 2.9Ghz Windows 11 Home",8517.16953
"Dell Latitude 14 3420 (14"" Touch, 16GB, 512GB SSD, i5-1145G7 4.4GHz) Win11P, Gra",12809.27301
Panasonic  CF-31   MK5  5th GEN Core i5  WIN11 PRO  16GB 1TB SSD WWAN  BLACK,16604.78712
"Lenovo ThinkPad T14 Touch 14"" Intel Core i7 4.90 GHz 48GB RAM 4TB SSD Win 11 Pro",20068.53
"Acer Aspire 3 Laptop 15.6"" Intel i5-1135G7 12GB RAM 512GB SSD 2.4GHz Refurbished",9820.34301
"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",18744.861
Dell Latitude 3190 2-in-1 Touch Laptop Intel Pentium 8GB RAM 128GB SSD Win 11,4842.49359
Dell Latitude Light Gaming Laptop 1920x1080 4-Core i7 16GB RAM 512GB SSD Win 11,15300.332669999998
"HP EliteBook 845 G8 14"" FHD AMD Ryzen 5 PRO 5650U 16GB 256GB SSD W11P Laptop SL",8966.789999999999
"Acer Swift Go 14"" TS Laptop Intel Core Ultra 7 155H 16GB RAM 1TB SSD Refurbished",16225.19301
14 Lenovo ThinkPad Laptop: Intel i5! 16GB RAM! 512GB NVME SSD! Secondary Battery,11528.73
"HP EliteBook 845 G8 Laptop AMD Ryzen 5 PRO 5650U 16GB RAM 256 GB SSD 14"" W11H",11955.29301
"2020 Apple M1 MacBook Air 13.3"" 8GB/128GB SSD - (Gray/Skinned) A2337 w/Warranty",12809.27301
2025 Lenovo IdeaPad Laptop Notebook 15.6 Intel Processor Upto 20GB RAM 1TB SSD,10205.061
HP Elitebook 840 G7  i7-10510U 1.8GHz 16 GB RAM 512 GB SSD Laptop,8539.37301
"Dell Latitude Touchscreen Laptop 11.6"" Pentium 8GB RAM 128GB SSD Win 11 Pro",6617.91801
"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",13023.195
"Lenovo ThinkPad T14 14"" Intel Core i7 4.7GHz 32GB 512GB SSD Win11 Touch Screen",16780.28001
Lenovo ThinkPad E15 Laptop PC 15.6” FHD Core i5 16GB RAM 512GB SSD Windows 11,11535.98883
"Asus Touch Chromebook Flip 14"" i3 1.80GHz/8GB/128GB SSD CX5400FM - w/Warranty",5349.75771
"New 15.6"" Windows 11 Laptop, Intel Celeron N5095 12GB RAM 512GB SSD, Business",8752.86801
Dell Latitude 3190 2-in-1  Pentium N5030 1.10GHz 8GB RAM 256GB SSD Win 11 Pro,3842.91
FHD Dell 2-in-1 Laptop PC: Intel i7-8650U! 16GB RAM ~ 256GB SSD! Windows 11!,9391.64505
"HP - 15.6"" Touch-Screen Laptop - Intel Core i3 1315U 2023 - 8GB Memory - 256G...",14986.92201
"HP 14-ep2011wm 14"" HD N150 0.8GHz Intel UHD Graphics 4GB RAM 128GB SSD Win 11",5935.161
Panasonic  CF-31   MK5  5th GEN Core i5  WIN11 PRO  16GB 1TB SSD   BLUE,16604.78712
"SGIN 15.6"" Windows 11 Laptop 12GB RAM 1TB SSD Intel Celeron Portable Business PC",8496.67401
"Acer Aspire 3 Laptop 15.6"" 16GB 1TB AMD Ryzen 5 7520U 2.8GHz Refurbished",10076.53701
"HP EliteBook 845 G8 14"" FHD AMD Ryzen 7 PRO 5850U 16GB 512GB SSD W11P Laptop, SL",11742.225
"Windows 11 PRO Laptop Notebook PC Computer, 8GB Ram, Webcam, Wifi, and HDMI",3791.6712
Dell Latitude E7470 Laptop i5-6300U 2.4GHz 8GB RAM 256GB SSD Win 11 Pro,3201.14403
"Acer 15.6""Chromebook 315 Laptop Intel Celeron N4500 4GB RAM 64GB SSD Refurbished",4554.275339999999
"Acer Swift 16"" AI Copilot+PC OLED Intel Ultra7 256V 16GB RAM 1TB SSD Refurbished",30363.2589
Lenovo ThinkPad L470 Intel Core i3-7100U @ 2.40 GHz 8GB 128GB SSD Win 10 BIOS,2495.75655
HP X360 11 G3 11.6” Touchscreen Laptop Intel 4GB RAM 64GB SSD Windows 11 Pro PC,5350.1847
"2025 SGIN Laptop 17.3 inch, Intel N5095, Up to 12GB RAM &512GB SSD",12381.85602
DELL Latitude Laptop Computer PC 14 Core i5 32GB 1TB SSD Windows 11 TOUCHSCREEN!,14090.24301
"HP ELITEBOOK 745 G6 14"" AMD Ryzen 7 3700U 2.30GHz 16GB RAM 256GB NVMe",7044.90801
CHUWI 10.51'' MiniBook X  Windows 11 Laptop LPDDR5 12GB 512GB SSD Intel N100,11955.72
Dell Latitude Laptop Computer 14” HD Intel Core 16GB RAM 256GB SSD Win 11 WiFi,8295.13473
"HP EliteBook 845 G7 Laptop Ryzen 5 PRO 4650U 16 GB DDR4 256 GB SSD W11P, Radeon",8311.360349999999
"Getac V110 G3 11.6"" Touch Laptop i5-6200U 2.3GHz 8GB 128GB SSD W10",5764.365
HP EliteBook 845 G8 Gaming Laptop Ryzen 5 PRO 5650U 16GB 256GB Windows 11 Pro,10674.32301
Lenovo N23 Chromebook Intel Celeron 1.60 GHz 4GB Ram 16GB eMMC,1494.03801
Acer Nitro V16S Laptop AMD Ryzen 7 GeForce RTX 5060 16GB RAM 1TB SSD Refurbished,37992.28923
"Dell Latitude 3120 11.6"" Touch 2in1 Laptop Intel 8GB RAM 128GB SSD Win 11 Pro",5550.44301
"2025 HP Touch Laptop 15.6"" 10-Core Intel i7, Up to 64GB RAM & 2TB SSD, Win11 Pro",35397.471
Acer Predator Helios Neo 16S Gaming Laptop RTX 5070 Ti 32GB RAM 1TB Refurbished,58582.60101
"Windows 7 PRO Laptop Notebook PC Computer Dual core, 4GB Ram, 250GB HD DVD/CD",4227.201
"14"" DELL Latitude Laptop: Intel i5! 4GB RAM! 128GB SSD! Zorin Core Edition!",4901.41821
SGIN 15.6/17.3 inch Laptop 128GB 256GB 512GB SSD Intel Celeron WIFI Windows 11,8539.37301
"Dell 15.6"" Touchscreen Laptop Windows 11 Intel Core i5 4.40 GHz 64GB RAM 4TB SSD",15115.446
"Dell Latitude 5430 (14"", 16GB, 256GB SSD, i7-1265U 1.8GHz) Win11P, Gray",11486.031
"Acer Aspire 14"" AI Copilot PC Laptop Intel Ultra 5 32GB RAM 1TB SSD Refurbished",19470.31701
"Lenovo ThinkPad T480 14"" HD i5 8250u 16GB 512gb NVME WIFI CAM WIN 11 PRO laptop",11955.29301
Acer Predator Helios Neo 14 Gaming Notebook Intel Ultra7 GeForceRTX4070 16GB 1TB,32640.39657
"Apple Macbook Air 13"" Laptop - i5 8GB RAM 256GB SSD - MacOS Big Sur - Warranty",5081.181
Intel Computer NUC PC Mini 1 TB 8GB i5-8265U 8th gen workstation Desktop Win 10,6185.80413
"Lenovo Slim 7i 14"" WUXGA OLED Touch Aura Edition Ultra 7 258V 32GB RAM 1TB SSD",29846.601
"Acer Swift Go 16"" Laptop OLED Intel Core Ultra 9 285H 32GB 1TB SSD Refurbished",35653.23801
"15.6"" HP Laptop: AMD Processor! 8GB RAM ~ 256GB SSD! Zorin Core Edition!",5762.230049999999
"HP - 14"" Laptop - Intel Processor N150 2025 - 4GB Memory - 128GB UFS - Natura...",8539.37301
"Acer 16"" Chromebook Plus 516 Gaming Intel i5 120U 8GB RAM 256GB SSD Refurbished",11442.90501
"Dell 15.6"" Touchscreen Light Gaming Laptop Intel Core 4.40GHz 64GB RAM 4TB SSD",14731.155
"HP ProBook x360 11 G2  11.6"" Touchscreen, i5, 8GB, 128GB SSD **See Description**",2049.552
"Dell Latitude 3330 Laptop 2-in-1 Touch 13.3"" Core i5 8GB RAM 256GB SSD Win 11",9132.889109999998
"Dell Latitude 5320 13.3"" 512GB I7-1185G7 WIN11P, Gray",11571.429
"Dell Latitude 5420 14"" i5-1145G7 16GB Ram 256GB SSD Windows 11 Pro Laptop Touch",7771.218
2023 CHUWI MINIBOOK X 10.51in Touchscreen Mini Laptop IntelN100 RAM 12G 512G SSD,10416.42105
"HP - 15.6"" Laptop - Intel Core i3 N305 2023 - 8GB Memory - 128GB UFS - Natura...",11955.29301
"HP 14-ep2012wm 14"" HD N4020 2.6GHz Intel Graphics 4GB RAM 128GB SSD Win 11 Home",5072.6412
"Dell Latitude 3189 11.6"" 2-in-1 Touch Laptop Celeron 4GB 128GB SSD Windows 11 !!",3373.221
"Dell Latitude 3190 2-in-1 Laptop 11.6"" Intel N5030 @1.10GHz 8GB 128GB SSD",3415.92
"Dell - 15.6"" FHD Laptop - AMD Ryzen 7 7730U 2023 - 16GB Memory - 1TB Storage ...",19214.12301
"Acer Aspire 5 15.6"" Laptop Intel i7-13620H 2.4 GH 16GB RAM 512GB SSD Refurbished",17079.17301
Dell Latitude Laptop 11.6” HD 8GB RAM 128GB SSD Intel Pentium Silver Win 11 WiFi,5550.44301
"15.6"" HP ProBook Laptop PC:  Intel i5! (16GB RAM- 1TB NVME SSD) Windows 11 Pro!",11808.40845
"Lenovo - IdeaPad 1 15.6"" Full HD Laptop - AMD Ryzen 5 7520U 2022 - 8GB Memory...",12809.27301
Dell Latitude 3190 2 in 1 11.6 Intel N5030 @1.10GHz 8GB 128GB SSD,3159.726
"Gateway GWTC116-2BK 11.6"" HD Touchscreen Laptop Celeron N4020 1.1GHz Intel UHD",2177.649
Lenovo ThinkPad X13s Gen 1 Snapdragon 8cx Gen 3 16GB DDR4 500GB NVMe Win 11 Pro,9607.275
"15.6"" DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!",6829.70505
2025 HP Laptop Computer 14 Quad-Core Intel Processor 16GB RAM 628GB Storage,13193.991
"Acer Aspire 3 14""Notebook FHD Intel i3-N305 8GB RAM 128GB SSD 1.8GHz Refurbished",7258.40301
"HP - Victus 15.6"" 144Hz Full HD Gaming Laptop - Intel Core i5 13420H 2023 - 8...",20495.09301
"Dell Latitude 7420 14"" Laptop i5-11th Gen-16GB Ram-NEW 1TB NVME SSD, Win 11 Pro",13620.981
"CHUWI- 14.1"" Laptop - Intel Celeron 2.8GH- 8GB Memory - 256GB SSD-HDMI Gray",7650.80682
LENOVO THINKPAD P70 17” i7 6700HQ 2.6GHz 32GB RAM 1TB+256GB NVIDIA Quadro M600M,11059.041
Dell Latitude 5520 Laptop - 2.6 GHz Core i5-1145G7 16GB 512GB - Touchscreen,8881.392
Dell Vostro 3590 Business Laptop 15.6” Core i7 16GB RAM 512GB SSD Windows 11 Pro,14273.421719999998
"~CD/DVD BURNER~ 14"" HP ProBook Laptop PC: Intel i5! 16GB RAM - 256GB SSD! Win 10",8101.70826
"Lenovo - IdeaPad Slim 3i 15.6"" Full HD Laptop - Intel Core i3-N305 2023 - 8GB...",10674.32301
"HP ProBook x360 11 G2  11.6"" Touchscreen, i5, 8GB, 128GB SSD **See Description**",2049.552
"Acer Aspire AI 14-14"" Touchscreen Laptop Intel Core Ultra 5 16GB 1TB Refurbished",17079.17301
"Lenovo IdeaPad Flex 5 14"" FHD+ Chrome 14IAU7 Laptop i3-1315U 8GB RAM 256GB Ob A",7472.325
"Apple Macbook Air 13"" Laptop - i5 8GB RAM 256GB SSD - MacOS Big Sur - Warranty",6831.41301
"Microsoft Surface Laptop 3 13.5"" Touch Intel i7-1065G7 16GB 256GB SSD - Black",10247.33301
Lenovo ThinkPad T14 Touchscreen Laptop Intel Core i7 4.90 GHz 48GB RAM 4TB SSD,14859.252
"HP EliteBook 845 G8 14"" FHD AMD Ryzen 5 PRO 5650U 16GB 256GB SSD W11P Laptop SL",9351.081
"Lenovo ThinkPad X1 Carbon Gen 9 14"" i5-1145G7 2.6GHz 16GB RAM 512GB SSD Win 11",15371.21301
"Dell Latitude 5520 Laptop - 2.6 GHz i5-1145G7 16GB 512GB 15.6"" Touchscreen - SP",8497.100999999999
Lenovo ThinkPad X1 Carbon Gen 8 14'' (512GB SSD Intel Core i7-1355U 3.7GHz 16GB),19176.1209
"Dell Latitude Laptop 5480 14"" Intel i7, 16GB, 256GB SSD, Win 11 Pro, WI-FI, Cam",8497.100999999999
"[90% NEW] ACEMAGIC 15.6"" Laptop Intel N97 16GB DDR4 RAM 512GB SSD WIFI win11 Pro",8112.38301
"HP OmniBook X AI 14-fe0013dx 14"" Touch Elite X1E-78-100 16GB 1TB SSD W11 Laptop",17933.579999999998
"Dell Chromebook 3100 11.6"" Intel core 2.60GHz 4GB RAM 32GB eMMC Bluetooth Webcam",3628.98801
"ASUS - Vivobook 14 14"" FHD Laptop - Intel Core 5 120U with 8GB Memory - 256GB...",14090.24301
"HP - 14"" Laptop - Intel Celeron N4500 2021 - 4GB Memory - 64GB eMMC - Snowfla...",8539.37301
"Acer Aspire 3 15.6"" Laptop AMD Ryzen3 7320U 2.4GHz 8GB RAM 128GB SSD Refurbished",8539.37301
2025 Lenovo IdeaPad Laptop 15.6 Touch 10-Core Intel i5 Upto 40GB RAM 2TB SSD Pro,18744.861
Dell Latitude 3190 2-in-1 Laptop Pentium N5030 8GB RAM 256GB SSD Win 11 Pro,4099.103999999999
HP ZBook Firefly 14 G8 Laptop 14” FHD Core i5-1145G7 16GB RAM 512GB SSD Win 11,12318.23451
"Windows 10 PRO Laptop Notebook PC Computer Dual core, 4GB Ram, 250GB HDD DVDRW",4227.201
"15.6 IPS FHD-Laptop, 8/16GB RAM 256GB/512GB/1TB SSD Intel Pentium Quad Core N100",8966.36301
"Dell Chromebook 3100 (11.6"", Intel Celeron, 4GB RAM, 16GB, ChromeOS)  NO Charger",1109.7470099999998
"SGIN 17.3"" Laptop Notebook Windows 11 4GB RAM 128GB SSD Celeron Quad-Core 2.5Ghz",8454.402
Dell Latitude 9520 Touch 15.6” FHD Laptop Core i5 16GB RAM 512GB SSD Win 11 Pro,14090.24301
"Dell Latitude 14"" FHD Touch •i5 7th •8GB •512GB SSD •Win11 + Office Activated ✅",7899.315
"Dell Latitude 5510 (15.6"", 16GB, 256GB SSD, i5-10310U 1.70GHz) Win11P, Silver",11229.837
"HP 15-fd0130wm 15.6"" FHD Touchscreen i3-N305 1.8GHz Intel UHD Graphics 8GB RAM",9222.984
"Microsoft Surface Laptop 4 (15"") i7-1185G7, 16GB RAM, 256GB SSD - Good",12809.27301
"HP - 17.3"" Full HD Laptop - AMD Ryzen 5 7520U 2023 - 8GB Memory - 512GB SSD -...",18360.14301
"Asus Vivobook S14 S5406SA 14"" WUXGA OLED Intel Ultra 7 258V 32GB 1TB W11H Laptop",29633.106
"2025 ASUS Vivobook 14"" FHD Laptop, 6-Core Intel i3 Up to 40GB RAM 2TB SSD WinPro",20025.831
"HP ProBook 640 G1 14"" Intel Core i5-4300M @2.60GHz 8GB RAM 128GB SSD",2517.10605
MICROSOFT SURFACE PRO 7 1866 i5 1035G4 8GB 256GB W11P-W/Keyboard-SEE PHOTOS,10460.82801
"Dell 14"" 7490 16GB DDR4 NEW 512GB SSD Core i5 8th gen Windows 11 pro Touchscreen",10674.32301
Dell Gaming Laptop Intel i7- 16GB RAM   500GB SSD Drive Windows 11 Office,12767.001
"【90% New】ACEMAGIC Laptop 17.3"" FHD Netbook Intel N97 16GB RAM 512GB M.2 SSD WiFi",9351.081
"ASUS Vivobook 14 14"" FHD Laptop Intel Core i5-1334U 12GB RAM 256GB SSD Blue New",13661.54505
"ASUS VivoBook 16"" WUXGA Notebook Intel Core i7-13620H 16GB DDR4 RAM 512GB SSD",20068.10301
"MSI Thin 15 B13VF-2830US 15.6"" Gaming Laptop i5-13420H 4060 16GB 512GB Win11",29846.601
Lenovo ThinkPad L13 Intel i5-10210U 1.6 GHz 8GB RAM 256GB NVME Win 11 - D Grade,2946.231
"Asus Chromebook Flip 14"" Touchscreen i3 1.80GHz/8GB/128GB SSD (Silver) CX5400FM",4047.43821
"Lenovo LOQ-E 15.6"" 144Hz RTX 3050 Intel i5-12450HX 16GB RAM 512GB SSD AI Laptop",22203.05301
"Dell Latitude 5420 Laptop - 2.4 GHz i5-1135G7 16GB 256GB SSD Webcam 14""",8497.100999999999
"ThinkPad X230, i5-2.6GHz, 8GB RAM, Charger, Dock($20 discount without), Win10Pro",5123.88
"HP EliteBook x360 G8 14"" Touch Intel i7-1185G7 16GB 256GB SSD W10 Laptop",13428.40851
Dell Latitude 7420 Laptop 14” FHD Core i7 16GB RAM 512GB SSD Windows 11 HDMI,14427.13812
"Dell laptop Latitude 7480 14"" I5-6Gen 16GB 256GB SSD Win 11 Pro WIFI",8065.414109999999
Dell Latitude 7420 – Intel Core i7 | 16GB RAM | 512GB SSD | 14” Touch | Win 11,9820.34301
"Asus Chromebook Flip 14"" Touchscreen i3 1.80GHz/8GB/128GB SSD (Silver) CX5400FM",4047.43821
"Lenovo LOQ 15.6"" FHD 144Hz AMD Ryzen 7 250 16GB RAM 512GB GeForce RTX 5060",38428.67301
"Lenovo LOQ-E 15.6"" 144Hz RTX 3050 Intel i5-12450HX 16GB RAM 512GB SSD AI Laptop",22203.05301
"Asus Touch Chromebook Flip 14"" i3 1.80GHz/8GB/128GB SSD - CX5400FM w/Warranty",6148.22901
"Dell Latitude 5290 2-in-1 12.3"" WUXGA Touch i3-8130U 4GB 256GB SSD IR Cam W11Pro",5081.181
"Lenovo ThinkPad L15 RYZEN 5 PRO 5650U gen 2 15.6"" FHD 16GB 512GB NVMe Win 11Pro",12596.205
"Lenovo LOQ 15.6"" FHD Gaming Laptop RTX 4050 AMD Ryzen 5 7235HS 16GB RAM 512GB",27752.21505
