urun_adi,fiyat
"Chuwi Gemibook Plus N150 16 GB 512 GB SSD Intel Graphics 15.6"" Full HD NotebookEn Ucuz16.399,07 TL+1 FİYATÜrüne Git (+1)50+ alarm",16399.07
"Hometech Alfa 620C N4020 4 GB 128 GB SSD UHD Graphics 14.1"" NotebookEn Ucuz6.495,07 TL+18 FİYATÜrüne Git (+18)50+ alarm",6495.07
"Microsoft Surface Pro Copilot+ ZHX-00001 X Plus 16 GB 256 GB SSD 13"" İkisi Bir Arada NotebookEn Ucuz54.690,56 TL+3 FİYATÜrüne Git (+3)50+ alarm",54690.56
"Microsoft Surface Laptop 6 - 15"" Touchscreen - Intel Core Ultra 5 135U - 16GB Ram - 512GB SSD - Windows 11 Pro - Sleek & Efficient - 512 GB - 16 GBEn Ucuz45.999,00 TLTEK FİYAT",45999.0
"Microsoft - Surface Pro Copilot+ PC (11. Sürüm) - Snapdragon X Elite - 13 OLED Dokunmatik - 16 GB Ram - 1 TB SSD - Win 11 Home - Siyah (Sadece Tablet - 2 Yıl Garanti IYH-00005En Ucuz100.665,60 TLTEK FİYAT",100665.6
"Microsoft Surface Laptop 4, Ryzen 7se 16GB 512GB 15INC Touch W11P - 512 GB - 16 GBEn Ucuz37.990,00 TLTEK FİYAT",37990.0
"Microsoft Surface Pro Copilot+ ZID-00001 Snapdragon X Elite 32 GB 1 TB SSD 13"" İkisi Bir Arada NotebookEn Ucuz125.609,20 TL+3 FİYATÜrüne Git (+3)10+ alarm",125609.2
"Hometech Alfa 720C N4020C 4 GB 128 GB SSD UHD Graphics 600 15.6"" NotebookEn Ucuz8.299,00 TL+8 FİYATÜrüne Git (+8)10+ alarm",8299.0
"HOMETECH ALFA 750C NOTEBOOK 4/128GB GrayEn Ucuz%137.801,00 TL+1 FİYATÜrüne Git (+1)",7801.0
"Microsoft Surface Pro Copilot+ Pc (11. Sürüm) - Intel Core Ultra 7 268V - 13"" Oled Touch - 32Gb Ram 512 Gb Ssd - W11p - 1Yıl Garanti Ep2-20042En Ucuz%2155.697,59 TL+4 FİYATÜrüne Git (+4)",155697.59
"Hometech Alfa 620c Notebook Celeron 4ram 128gbEn Ucuz7.295,00 TLTEK FİYATÜrüne Git",7295.0
"Hometech ALFA 430C N4020 4 GB 128 GB SSD UHD Graphics 14.1"" NotebookEn Ucuz10.999,00 TL+1 FİYATÜrüne Git (+1)10+ alarm",10999.0
"Microsoft Surface Pro ZHY-000TT Xplus X1P-64-100 16GB 512SSD 13"" 2k Touch Windows 11 Home Taşınabilir Bilgisayar+Q Ingilizce Klavye Siyah - 512 GB - 16 GBEn Ucuz%1791.923,02 TLTEK FİYATÜrüne Git",91923.02
"Microsoft Surface Pro Copilot+ PC (11. Sürüm) - 13"" Touch Oled - Snapdragon X Elite - 16GB Ram - 1TB SSD - Win11 Home - 1 Yıl Garanti - IYH-00005En Ucuz94.382,32 TLTEK FİYATÜrüne Git10+ alarm",94382.32
"Hometech Alfa 720c Intel Celeron 15.6 Inç 128 Gb Dizüstü Bilgisayar SiyahEn Ucuz9.079,00 TL+2 FİYATÜrüne Git (+2)",9079.0
"Hometech Alfa 14.1"" Intel Celeron N4020 4 Gb Ram 128 Gb Ssd Windows 11 Taşınabilir Bilgisayar ( Hometech Türkiye Garantili)En Ucuz7.124,05 TLTEK FİYAT",7124.05
"Hometech Alfa 640C N4020C 8 GB 256 GB SSD 14.1"" NotebookEn Ucuz16.001,00 TLTEK FİYATÜrüne Git10+ alarm",16001.0
"Microsoft - Surface Pro 10 - Intel Ultra 7 165U - 13"" Dokunmatik - 64Gb Ram - 1Tb Ssd - Win 11 Pro - (Sadece Tablet) - 1 Yıl Garanti Zea-00007En Ucuz161.776,00 TL+3 FİYATÜrüne Git (+3)10+ alarm",161776.0
"Microsoft Surface Pro Zhy-000Tt Xplus X1p-64-100 16Gb 512Ssd 13"" 2K Touch W11h Dizüstü BilgisayarEn Ucuz70.871,50 TL+4 FİYATÜrüne Git (+4)10+ alarm",70871.5
"Hometech Alfa 620C 14.1"" Intel N4020 4 Gb Ram 128 Gb Ssd W11 Taşınabilir Bilgisayar ( Hometech Türkiye Garantili)En Ucuz7.124,05 TLTEK FİYAT",7124.05
"Microsoft Surface Pro 11 EP2-23862 Snapdragon X Elite 16 GB 1 TB SSD 13'' W11H Dizüstü Bilgisayar +KlavyeEn Ucuz103.059,20 TLTEK FİYAT",103059.2
